,Price,Local,Surface,Bathroom,Floor
5399,€ 410.000,3 ,135,2 ,3
5400,€ 319.000,5 ,139,2 ,4
5401,€ 229.000,2 ,72,1 ,4
5402,€ 420.000,2 ,55,1 ,Ultimo
5403,€ 250.000,2 ,62,1 ,4
5405,€ 199.000,3 ,65,1 ,2
5406,€ 250.000,2 ,58,2 ,1
5407,€ 185.000,3 ,70,1 ,1
5409,€ 219.000,3 ,104,1 ,Piano terra
5410,€ 340.000,4 ,130,2 ,Piano rialzato
5411,€ 470.000,3 ,117,2 ,2
5412,€ 78.000,1 ,20,1 ,1
5413,€ 185.000,2 ,60,1 ,Piano terra
5414,€ 159.000,3 ,70,2 ,3
5415,€ 215.000,2 ,60,1 ,2
5416,€ 218.000,3 ,70,1 ,Ultimo
5419,€ 450.000,3 ,88,2 ,2
5420,€ 215.000,3 ,90,1 ,3
5421,€ 280.000,2 ,75,1 ,5
5422,€ 195.000,3 ,75,1 ,1
5423,€ 491.000,2 ,67,1 ,1
5426,€ 340.000,2 ,34,1 ,1
5427,€ 749.000,4 ,128,2 ,3
5429,€ 239.000,3 ,80,2 ,Piano terra
5430,€ 560.000,3 ,100,1 ,6
5431,€ 620.000,3 ,115,2 ,3
5432,€ 235.000,2 ,72,1 ,2
5434,€ 445.000,4 ,100,2 ,6
5435,€ 235.000,1 ,55,1 ,Piano terra
5437,€ 220.000,2 ,74,1 ,3
5438,€ 348.000,2 ,50,1 ,Piano rialzato
5440,€ 989.000,4 ,180,2 ,2
5441,€ 359.000,3 ,110,1 ,Piano terra
5443,€ 490.000,3 ,130,2 ,Ultimo
5444,€ 170.000,3 ,85,1 ,3
5445,€ 190.000,2 ,60,1 ,6
5446,€ 355.000,3 ,110,2 ,2
5447,€ 175.000,2 ,65,1 ,Piano terra
5448,€ 489.000,4 ,139,2 ,1
5449,€ 298.000,4 ,114,1 ,1
5451,€ 830.000,5 ,180,2 ,9
5452,€ 153.000,2 ,75,1 ,3
5453,€ 335.000,3 ,148,2 ,1
5454,€ 99.000,2 ,50,1 ,1
5455,€ 345.000,3 ,110,1 ,Piano terra
5456,€ 347.000,4 ,125,2 ,2
5457,€ 185.000,3 ,80,1 ,4
5458,€ 129.000,2 ,65,1 ,1
5459,€ 199.000,2 ,65,1 ,2
5461,€ 329.000,2 ,61,1 ,Piano terra
5462,€ 120.000,1 ,40,1 ,2
5465,€ 180.000,2 ,70,1 ,Piano rialzato
5466,€ 186.000,3 ,82,1 ,1
5468,€ 290.000,3 ,72,1 ,Piano terra
5469,€ 660.000,4 ,175,2 ,5
5470,€ 320.000,2 ,85,1 ,1
5473,€ 800.000,5+ ,220,3 ,2
5475,€ 629.000,5 ,160,3 ,Ultimo
5477,€ 169.000,3 ,85,1 ,Piano terra
5478,€ 420.000,4 ,110,2 ,5
5479,€ 139.000,3 ,70,1 ,1
5480,€ 119.000,3 ,80,2 ,1
5481,€ 150.000,2 ,50,1 ,Piano terra
5482,€ 480.000,4 ,130,2 ,3
5483,€ 199.000,3 ,80,2 ,1
5484,€ 125.000,3 ,65,1 ,3
5485,€ 50.000,1 ,50,1 ,Piano terra
5487,€ 255.000,5 ,130,2 ,7
5488,€ 480.000,2 ,80,2 ,1
5489,€ 545.000,4 ,152,2 ,3
5490,€ 250.000,2 ,70,1 ,Piano terra
5491,€ 179.000,2 ,65,1 ,4
5492,€ 420.000,5+ ,195,3 ,Ultimo
5493,€ 349.000,3 ,106,1 ,5
5495,€ 510.000,3 ,100,1 ,4
5496,€ 409.000,4 ,140,2 ,1
5497,€ 229.000,3 ,85,1 ,Piano terra
5498,€ 1.700.000,5+ ,240,3 ,3
5500,€ 255.000,3 ,100,1 ,1
5502,€ 209.000,3 ,75,1 ,3
5503,€ 289.000,4 ,95,2 ,3
5504,€ 395.000,3 ,88,2 ,4
5505,€ 389.000,4 ,95,3 ,4
5506,€ 740.000,5 ,236,3 ,Ultimo
5508,€ 75.000,2 ,35,1 ,Seminterrato
5509,€ 320.000,3 ,90,1 ,1
5511,€ 290.000,3 ,89,1 ,Piano terra
5512,€ 375.000,3 ,95,1 ,8
5513,€ 198.000,2 ,68,1 ,1
5514,€ 400.000,3 ,75,2 ,2
5515,€ 235.000,2 ,65,1 ,5
5516,€ 109.000,2 ,60,1 ,Piano rialzato
5519,€ 330.000,3 ,70,1 ,1
5520,€ 450.000,3 ,118,2 ,Ultimo
5522,€ 429.000,3 ,94,2 ,3
5523,€ 185.000,5+ ,600,2 ,Piano terra
5524,€ 309.000,3 ,100,1 ,6
5527,€ 118.000,2 ,59,1 ,1
5528,€ 370.000,3 ,99,2 ,1
5529,€ 2.100.000,5+ ,330,3 ,3
5531,€ 1.390.000,5+ ,323,3 ,4
5532,€ 615.000,4 ,145,2 ,4
5533,€ 65.000,3 ,60,1 ,Piano rialzato
5534,€ 620.000,4 ,100,1 ,5
5535,€ 320.000,3 ,90,2 ,Ultimo
5536,€ 240.000,2 ,94,1 ,Ultimo
5538,€ 235.000,3 ,100,2 ,Piano terra
5539,€ 245.000,2 ,65,1 ,5
5540,€ 165.000,3 ,65,1 ,Piano terra
5541,€ 598.000,5 ,161,2 ,2
5542,€ 1.700.000,5 ,160,2 ,2
5544,€ 800.000,4 ,120,1 ,2
5545,€ 350.000,2 ,76,1 ,2
5546,€ 465.000,4 ,115,1 ,1
5548,€ 195.000,2 ,50,1 ,Piano terra
5551,€ 330.000,3 ,97,2 ,2
5554,€ 72.000,2 ,57,1 ,Piano terra
5556,€ 670.000,4 ,90,1 ,3
5557,€ 580.000,3 ,95,2 ,Ultimo
5558,€ 309.000,4 ,120,2 ,3
5559,€ 270.000,3 ,100,2 ,Piano terra
5560,€ 269.000,4 ,120,2 ,6
5562,€ 309.000,5+ ,200,2 ,2
5563,€ 160.000,4 ,105,2 ,6
5565,PREZZO SU RICHIESTA,2 ,65,1 ,2
5567,€ 255.000,4 ,103,2 ,3
5568,€ 359.000,3 ,95,2 ,1
5569,€ 170.000,3 ,90,2 ,1
5570,€ 235.000,3 ,72,1 ,2
5571,€ 399.000,3 ,105,2 ,2
5572,€ 235.000,5 ,124,2 ,1
5574,€ 135.000,1 ,40,1 ,2
5575,€ 450.000,3 ,85,2 ,2
5576,€ 129.000,2 ,52,1 ,1
5577,€ 319.000,3 ,80,2 ,3
5578,€ 145.000,3 ,60,1 ,2
5579,€ 480.000,3 ,110,1 ,2
5580,€ 188.000,1 ,36,1 ,5
5581,€ 342.000,4 ,110,2 ,4
5582,€ 150.000,2 ,45,1 ,Seminterrato
5586,€ 159.000,4 ,120,2 ,2
5587,€ 590.000,5+ ,164,3+ ,Piano terra
5588,€ 3.500.000,4 ,200,2 ,Ultimo
5590,€ 440.000,3 ,80,1 ,2
5592,€ 315.000,2 ,81,1 ,3
5594,€ 205.000,2 ,55,1 ,2
5595,€ 430.000,4 ,125,2 ,Ultimo
5596,€ 235.000,2 ,60,1 ,9
5597,€ 290.000,3 ,65,1 ,Piano terra
5598,€ 255.000,2 ,60,1 ,2
5599,€ 230.000,4 ,107,2 ,Piano terra
5601,€ 160.000,3 ,90,1 ,1
5602,€ 750.000,3 ,119,1 ,2
5604,€ 199.000,3 ,74,1 ,1
5607,€ 199.000,3 ,110,1 ,3
5608,€ 320.000,3 ,100,2 ,Piano terra
5609,€ 765.000,4 ,150,2 ,3
5611,€ 200.000,2 ,61,1 ,Piano terra
5612,€ 308.000,3 ,80,2 ,3
5613,€ 219.000,3 ,75,1 ,Ultimo
5615,€ 309.000,3 ,108,1 ,Ultimo
5616,€ 175.000,2 ,45,1 ,1
5618,€ 70.000,1 ,37,1 ,Piano rialzato
5619,€ 386.000,3 ,117,2 ,3
5620,€ 160.000,4 ,100,2 ,Seminterrato
5621,€ 495.000,2 ,70,1 ,2
5623,€ 350.000,3 ,80,1 ,Ultimo
5625,€ 390.000,4 ,110,2 ,4
5626,€ 169.000,2 ,60,1 ,Piano terra
5627,€ 275.000,3 ,94,1 ,2
5628,€ 2.000.000,3 ,165,2 ,1
5629,€ 255.000,2 ,50,1 ,Piano rialzato
5632,€ 830.000,5+ ,170,2 ,2
5633,€ 299.000,3 ,125,2 ,8
5634,€ 2.500.000,5+ ,290,3 ,4
5635,€ 790.000,5+ ,200,2 ,2
5637,€ 267.000,3 ,90,2 ,1
5639,€ 150.000,3 ,75,1 ,1
5640,€ 135.000,3 ,55,1 ,1
5641,€ 139.000,2 ,73,1 ,1
5642,€ 520.000,5 ,140,2 ,Piano terra
5644,€ 850.000,5+ ,250,3 ,Ultimo
5645,€ 720.000,5 ,207,3 ,1
5646,€ 189.000,3 ,72,1 ,Piano terra
5647,€ 195.000,3 ,110,2 ,2
5648,€ 135.000,2 ,65,1 ,3
5649,€ 330.000,3 ,94,2 ,1
5650,€ 215.000,2 ,50,1 ,7
5651,€ 219.000,1 ,48,1 ,Piano terra
5654,€ 175.000,3 ,70,1 ,Piano terra
5655,€ 92.000,1 ,25,1 ,Piano terra
5656,€ 250.000,3 ,75,1 ,5
5659,€ 630.000,5 ,140,2 ,2
5660,€ 67.000,1 ,33,1 ,Piano terra
5662,€ 269.000,3 ,80,1 ,1
5663,€ 440.000,3 ,80,1 ,2
5666,€ 555.000,5+ ,205,3 ,Piano terra
5670,€ 1.350.000,3 ,189,2 ,3
5673,€ 169.000,2 ,60,1 ,2
5675,€ 900.000,4 ,131,2 ,5
5681,€ 296.000,3 ,95,1 ,5
5683,€ 225.000,3 ,85,1 ,1
5684,€ 990.000,5+ ,170,3 ,6
5687,€ 210.000,2 ,55,1 ,Piano rialzato
5688,€ 785.000,3 ,110,2 ,2
5693,PREZZO SU RICHIESTA,4 ,130,2 ,Ultimo
5698,€ 246.000,1 ,47,1 ,5
5699,€ 345.000,2 ,75,1 ,1
5700,€ 730.000,4 ,120,3 ,1
5701,€ 290.000,3 ,200,2 ,Piano terra
5702,€ 322.000,3 ,89,1 ,Piano terra
5703,€ 374.000,4 ,99,2 ,1
5704,€ 397.000,4 ,93,2 ,2
5705,€ 360.000,3 ,73,2 ,Piano terra
5706,€ 335.000,3 ,79,2 ,1
5707,€ 310.000,3 ,110,2 ,4
5708,€ 175.000,2 ,157,1 ,Piano terra
5709,€ 265.000,3 ,110,2 ,1
5710,€ 135.000,3 ,65,1 ,1
5711,€ 229.000,5 ,140,2 ,3
5712,€ 198.000,2 ,60,1 ,6
5713,€ 420.000,3 ,100,1 ,Piano terra
5714,€ 229.000,4 ,105,1 ,1
5715,€ 415.000,4 ,131,2 ,1
5718,€ 480.000,3 ,120,1 ,Ultimo
5719,€ 330.000,4 ,100,2 ,1
5720,€ 199.000,3 ,75,1 ,Ultimo
5721,€ 600.000,4 ,140,2 ,1
5722,€ 205.000,3 ,75,2 ,1
5723,€ 150.000,2 ,60,1 ,1
5724,€ 175.000,3 ,65,1 ,1
5726,€ 480.000,3 ,110,2 ,6
5727,€ 94.000,2 ,58,1 ,Seminterrato
5728,€ 169.000,4 ,100,2 ,Piano rialzato
5729,€ 94.000,2 ,58,1 ,Seminterrato
5730,€ 109.000,2 ,50,1 ,Piano terra
5731,€ 635.000,5 ,190,3 ,3
5732,€ 245.000,4 ,93,1 ,Ultimo
5733,€ 270.000,3 ,75,1 ,5
5734,€ 255.000,3 ,85,2 ,2
5735,€ 290.000,3 ,120,2 ,3
5737,€ 269.000,3 ,92,2 ,1
5738,€ 259.000,3 ,80,1 ,7
5739,€ 289.000,3 ,74,1 ,Piano terra
5742,€ 155.000,2 ,55,1 ,1
5743,€ 270.000,5 ,105,2 ,1
5744,€ 349.000,5 ,131,2 ,6
5745,€ 495.000,3 ,119,2 ,3
5746,€ 299.000,5 ,105,2 ,2
5747,€ 590.000,3 ,120,2 ,6
5748,€ 289.000,3 ,82,1 ,Ultimo
5749,€ 219.000,3 ,88,1 ,7
5750,€ 245.000,2 ,74,1 ,Piano rialzato
5751,€ 379.000,3 ,97,2 ,Piano terra
5752,€ 210.000,2 ,60,1 ,2
5753,€ 390.000,5 ,168,2 ,2
5754,€ 225.000,3 ,84,2 ,Piano terra
5755,€ 354.000,2 ,87,1 ,Ultimo
5756,€ 645.000,5+ ,147,3 ,Ultimo
5757,€ 500.000,5 ,160,3 ,3
5758,€ 289.000,3 ,105,1 ,Piano rialzato
5759,€ 239.000,2 ,65,1 ,6
5761,€ 258.000,4 ,90,1 ,2
5762,€ 229.000,3 ,80,1 ,Piano rialzato
5763,€ 99.000,2 ,30,1 ,Piano terra
5764,€ 750.000,3 ,130,1 ,1
5766,€ 599.000,5+ ,185,2 ,3
5767,€ 189.999,4 ,125,1 ,1
5768,€ 335.000,3 ,99,2 ,1
5769,€ 300.000,3 ,85,1 ,3
5770,€ 149.000,3 ,70,1 ,1
5771,€ 139.000,2 ,52,1 ,Piano terra
5772,€ 89.000,2 ,45,1 ,Ultimo
5773,€ 139.000,2 ,55,1 ,Piano terra
5774,€ 280.000,3 ,85,2 ,5
5775,€ 158.000,3 ,65,1 ,2
5776,€ 258.000,2 ,66,1 ,3
5777,€ 289.000,4 ,137,2 ,5
5778,€ 150.000,1 ,40,1 ,3
5779,€ 229.000,5+ ,75,2 ,3
5780,€ 179.000,2 ,60,1 ,3
5781,€ 269.000,3 ,105,1 ,Ultimo
5782,€ 218.000,2 ,55,1 ,3
5784,€ 350.000,3 ,110,1 ,Ultimo
5785,€ 239.000,2 ,55,1 ,Piano rialzato
5788,€ 395.000,4 ,115,2 ,2
5789,€ 169.000,3 ,85,1 ,2
5790,€ 220.000,2 ,50,1 ,1
5791,€ 350.000,4 ,95,1 ,Piano rialzato
5793,€ 239.000,3 ,83,1 ,Piano terra
5794,€ 270.000,2 ,75,1 ,Piano rialzato
5795,€ 155.000,3 ,85,2 ,3
5796,€ 295.000,3 ,75,2 ,Ultimo
5797,€ 139.000,3 ,62,1 ,Piano terra
5798,€ 390.000,3 ,110,2 ,Piano terra
5799,€ 179.000,2 ,75,1 ,1
5800,€ 159.000,1 ,46,1 ,Piano terra
5801,€ 340.000,4 ,123,1 ,4
5802,€ 349.000,4 ,130,2 ,4
5803,€ 599.000,5+ ,160,2 ,1
5804,€ 1.250.000,5+ ,185,2 ,4
5805,€ 209.000,2 ,65,1 ,Piano terra
5806,€ 870.000,5 ,298,3 ,4
5807,€ 690.000,5+ ,182,3 ,1
5808,€ 365.000,3 ,118,2 ,Piano terra
5809,€ 159.000,2 ,55,1 ,2
5810,€ 369.000,4 ,100,2 ,3
5812,€ 190.000,2 ,50,1 ,Piano terra
5814,€ 135.000,2 ,40,1 ,4
5816,€ 180.000,2 ,67,1 ,Piano terra
5817,€ 599.000,5+ ,261,3+ ,Piano terra
5819,€ 245.000,3 ,90,2 ,1
5821,€ 225.000,3 ,75,2 ,Piano rialzato
5822,€ 199.000,4 ,105,2 ,1
5825,€ 335.000,3 ,120,2 ,Interrato
5828,€ 259.000,4 ,125,3 ,2
5829,€ 450.000,3 ,105,2 ,2
5831,€ 199.000,3 ,85,2 ,3
5833,€ 119.000,2 ,70,1 ,Piano terra
5834,€ 215.000,3 ,80,2 ,1
5835,€ 395.000,3 ,90,2 ,Piano terra
5837,€ 175.000,3 ,95,1 ,5
5838,€ 259.000,3 ,90,1 ,5
5840,€ 222.000,3 ,80,1 ,Piano rialzato
5841,€ 320.000,3 ,95,2 ,Piano rialzato
5842,€ 240.000,3 ,100,1 ,4
5843,€ 149.000,2 ,60,1 ,2
5844,€ 295.000,3 ,92,1 ,4
5845,€ 269.000,3 ,72,1 ,1
5846,€ 219.000,3 ,85,1 ,1
5847,€ 295.000,3 ,95,2 ,2
5849,€ 219.000,3 ,75,1 ,1
5850,€ 398.000,3 ,90,2 ,Ultimo
5852,€ 185.000,2 ,70,1 ,1
5853,€ 295.000,3 ,80,1 ,5
5856,€ 215.000,5 ,115,2 ,3
5857,€ 210.000,3 ,83,1 ,4
5858,€ 185.000,2 ,50,1 ,3
5859,€ 95.000,3 ,55,1 ,Piano rialzato
5861,€ 690.000,5 ,150,1 ,3
5862,€ 275.000,3 ,80,1 ,1
5863,€ 299.000,3 ,90,2 ,Piano terra
5864,€ 195.000,3 ,54,1 ,5
5865,€ 335.000,4 ,122,2 ,7
5866,€ 265.000,3 ,90,1 ,1
5867,€ 240.000,3 ,95,2 ,2
5869,€ 340.000,2 ,65,1 ,Piano terra
5870,€ 125.000,3 ,70,1 ,2
5875,€ 409.000,4 ,90,1 ,Piano rialzato
5876,€ 530.000,3 ,110,1 ,2
5877,€ 350.000,2 ,65,1 ,Piano terra
5879,€ 98.000,2 ,60,1 ,Piano terra
5880,€ 175.000,2 ,65,1 ,7
5885,€ 630.000,5 ,144,2 ,2
5886,€ 210.000,2 ,46,1 ,2
5887,€ 650.000,4 ,125,2 ,4
5890,€ 210.000,3 ,75,1 ,Piano terra
5891,€ 1.390.000,4 ,230,2 ,Ultimo
5892,€ 140.000,2 ,50,1 ,5
5893,€ 269.000,4 ,105,2 ,2
5894,€ 249.000,3 ,84,1 ,8
5895,€ 269.000,3 ,80,2 ,2
5896,€ 330.000,3 ,100,2 ,Piano terra
5897,€ 290.000,3 ,65,1 ,1
5898,€ 730.000,5 ,132,3 ,Piano terra
5899,€ 139.000,3 ,75,1 ,2
5900,€ 90.000,1 ,27,1 ,Piano terra
5901,€ 279.000,4 ,132,1 ,4
5902,€ 209.000,3 ,95,1 ,1
5903,€ 109.000,2 ,50,1 ,2
5904,€ 329.000,3 ,106,1 ,1
5906,€ 389.000,4 ,124,2 ,Ultimo
5907,€ 225.000,3 ,90,2 ,1
5908,€ 630.000,3 ,80,1 ,4
5910,€ 280.000,3 ,75,1 ,Piano terra
5912,€ 850.000,3 ,150,2 ,Ultimo
5913,€ 235.000,3 ,95,1 ,2
5914,€ 365.000,4 ,112,2 ,1
5915,€ 950.000,5+ ,240,2 ,Ultimo
5916,€ 490.000,3 ,98,2 ,Ultimo
5918,€ 195.000,2 ,65,1 ,7
5919,€ 380.000,4 ,130,2 ,3
5920,€ 299.000,3 ,90,2 ,3
5921,€ 195.000,3 ,70,1 ,Piano terra
5922,€ 145.000,2 ,50,1 ,2
5923,€ 199.000,4 ,85,2 ,1
5924,€ 440.000,5 ,150,3 ,Piano terra
5925,€ 269.000,3 ,80,1 ,2
5926,€ 440.000,4 ,125,2 ,2
5927,€ 625.000,5+ ,165,2 ,4
5928,€ 160.000,2 ,64,1 ,Piano terra
5929,€ 152.000,2 ,55,1 ,Ultimo
5930,€ 673.000,2 ,74,1 ,2
5931,€ 325.000,2 ,70,2 ,1
5932,€ 350.000,5 ,130,2 ,Piano terra
5933,€ 700.000,5 ,112,2 ,Piano rialzato
5934,€ 199.000,4 ,100,1 ,4
5935,€ 559.000,5 ,142,2 ,3
5936,€ 210.000,2 ,83,1 ,2
5937,€ 354.000,3 ,110,1 ,1
5938,€ 135.000,2 ,55,1 ,3
5939,€ 880.000,5+ ,222,3 ,Ultimo
5940,€ 465.000,3 ,115,1 ,6
5941,€ 295.000,3 ,87,2 ,8
5942,€ 349.000,3 ,117,1 ,4
5943,€ 179.000,2 ,49,1 ,1
5944,€ 270.000,2 ,56,1 ,5
5945,€ 100.000,2 ,50,1 ,1
5946,€ 179.000,2 ,59,1 ,Piano terra
5947,€ 399.000,4 ,125,2 ,2
5948,€ 190.000,2 ,92,1 ,4
5949,€ 239.000,2 ,66,1 ,2
5950,€ 850.000,4 ,147,2 ,2
5953,€ 229.000,3 ,75,1 ,Piano terra
5954,€ 309.000,4 ,100,2 ,Ultimo
5955,€ 159.000,3 ,85,1 ,3
5957,€ 465.000,4 ,120,2 ,5
5959,€ 189.000,3 ,77,1 ,2
5960,€ 299.000,3 ,95,1 ,Ultimo
5961,€ 265.000,4 ,90,1 ,4
5962,€ 350.000,5 ,140,2 ,1
5963,€ 1.045.000,5 ,226,2 ,4
5965,€ 260.000,2 ,57,1 ,1
5966,€ 349.000,3 ,117,1 ,4
5967,€ 129.000,2 ,52,1 ,1
5970,€ 269.000,3 ,100,1 ,1
5971,€ 374.000,3 ,91,2 ,3
5972,€ 229.000,3 ,80,1 ,Seminterrato
5973,€ 650.000,4 ,230,3 ,1
5974,€ 229.000,3 ,65,1 ,4
5975,€ 239.000,2 ,68,1 ,Piano terra
5976,€ 189.000,2 ,64,1 ,4
5977,€ 145.000,3 ,73,1 ,Piano rialzato
5979,€ 780.000,3 ,80,1 ,3
5980,€ 159.000,3 ,70,1 ,1
5981,€ 112.000,2 ,64,1 ,Ultimo
5982,€ 215.000,2 ,70,1 ,5
5983,€ 225.000,2 ,85,1 ,Piano terra
5984,€ 360.000,5+ ,120,2 ,Ultimo
5985,€ 198.000,3 ,85,1 ,3
5986,€ 179.000,2 ,75,2 ,8
5987,€ 465.000,5 ,132,2 ,2
5988,€ 400.000,3 ,95,2 ,3
5989,€ 259.000,4 ,120,2 ,4
5990,€ 399.000,3 ,115,2 ,3
5991,€ 390.000,4 ,99,1 ,3
5992,€ 219.000,2 ,65,1 ,1
5993,€ 530.000,5 ,76,3 ,Piano rialzato
5994,€ 220.000,3 ,88,1 ,4
5995,€ 99.000,2 ,51,1 ,1
5996,€ 199.000,3 ,101,2 ,1
5997,€ 229.000,2 ,50,1 ,Seminterrato
5998,€ 699.000,5+ ,191,3 ,Piano rialzato
5999,€ 175.000,2 ,67,1 ,1
6002,€ 225.000,3 ,105,2 ,1
6003,€ 150.000,2 ,50,1 ,1
6004,€ 3.890.000,5+ ,440,3+ ,Ultimo
6005,€ 620.000,4 ,180,3 ,5
6006,€ 210.000,2 ,65,1 ,Piano terra
6007,€ 169.000,3 ,78,1 ,1
6008,€ 245.000,4 ,87,1 ,Piano terra
6009,€ 215.000,2 ,65,1 ,6
6010,€ 430.000,2 ,50,1 ,Ultimo
6011,€ 269.000,4 ,130,2 ,2
6012,€ 79.000,2 ,35,1 ,2
6013,€ 110.000,1 ,40,1 ,1
6014,€ 560.000,5 ,150,2 ,3
6015,€ 438.000,5 ,120,2 ,Piano rialzato
6018,€ 850.000,5 ,113,2 ,Ultimo
6019,€ 105.000,2 ,43,1 ,Piano rialzato
6021,€ 288.000,4 ,115,2 ,5
6022,€ 389.000,3 ,100,2 ,6
6023,€ 145.000,2 ,45,1 ,3
6024,€ 98.000,2 ,45,1 ,2
6025,€ 479.000,3 ,130,2 ,4
6026,€ 255.000,3 ,80,1 ,5
6027,€ 468.000,3 ,122,1 ,Ultimo
6030,€ 1.150.000,4 ,186,2 ,Ultimo
6031,€ 469.000,4 ,110,2 ,Piano rialzato
6032,€ 499.000,3 ,150,2 ,4
6033,€ 649.000,5 ,150,2 ,Ultimo
6034,€ 590.000,5 ,166,3 ,1
6035,€ 199.000,2 ,65,1 ,Piano terra
6036,€ 329.000,3 ,90,1 ,1
6037,€ 390.000,3 ,86,2 ,3
6038,€ 240.000,3 ,71,1 ,1
6039,€ 640.000,4 ,112,1 ,5
6040,€ 500.000,3 ,100,2 ,4
6044,€ 1.090.000,5+ ,321,3+ ,4
6045,€ 110.000,2 ,75,1 ,1
6046,€ 125.000,2 ,55,1 ,2
6047,€ 315.000,2 ,65,1 ,1
6048,€ 205.000,3 ,81,1 ,3
6049,€ 980.000,5+ ,183,3 ,4
6050,€ 630.000,2 ,69,1 ,2
6051,€ 275.000,3 ,75,1 ,Seminterrato
6052,€ 269.000,4 ,93,1 ,1
6053,€ 495.000,4 ,145,2 ,1
6056,€ 169.000,3 ,70,1 ,Piano rialzato
6057,€ 169.000,3 ,74,1 ,2
6058,€ 650.000,5 ,195,3 ,3
6059,€ 219.000,3 ,71,1 ,Piano rialzato
6060,€ 80.000,1 ,51,1 ,6
6062,€ 315.000,4 ,139,2 ,2
6064,€ 210.000,3 ,82,1 ,2
6065,€ 135.000,2 ,79,1 ,2
6066,€ 790.000,5+ ,157,1 ,4
6067,€ 800.000,4 ,128,2 ,3
6069,€ 450.000,3 ,95,1 ,3
6070,€ 178.000,3 ,70,1 ,3
6075,€ 550.000,5+ ,180,2 ,3
6076,€ 595.000,3 ,110,2 ,6
6078,€ 389.000,3 ,106,1 ,1
6080,€ 265.000,3 ,105,2 ,5
6081,€ 350.000,3 ,81,1 ,Piano terra
6082,€ 239.000,3 ,90,1 ,4
6084,€ 398.000,4 ,125,2 ,3
6085,€ 349.000,3 ,130,2 ,5
6086,€ 455.000,5 ,116,2 ,2
6087,€ 290.000,3 ,81,1 ,Piano terra
6089,€ 190.000,3 ,84,1 ,2
6090,€ 69.000,2 ,50,1 ,Piano terra
6091,€ 1.250.000,5 ,170,3 ,4
6094,€ 249.000,3 ,90,1 ,6
6095,€ 380.000,3 ,100,1 ,3
6096,€ 355.000,3 ,95,2 ,4
6097,€ 69.000,1 ,35,1 ,Piano rialzato
6098,€ 219.000,3 ,72,1 ,Ultimo
6099,€ 189.000,3 ,65,1 ,4
6100,€ 315.000,4 ,130,2 ,2
6101,€ 420.000,4 ,122,2 ,3
6102,€ 360.000,3 ,94,2 ,4
6103,€ 171.000,3 ,76,1 ,2
6104,€ 395.000,3 ,100,1 ,3
6105,€ 417.000,4 ,120,2 ,1
6106,€ 220.000,3 ,100,1 ,1
6107,€ 330.000,3 ,95,1 ,Piano rialzato
6108,€ 229.000,2 ,68,1 ,Piano terra
6109,€ 790.000,4 ,132,2 ,3
6110,€ 249.000,3 ,65,1 ,1
6111,€ 119.000,2 ,60,1 ,1
6112,€ 285.000,2 ,87,1 ,4
6113,€ 220.000,2 ,50,1 ,1
6114,€ 158.000,2 ,57,1 ,Piano terra
6116,€ 145.000,3 ,78,1 ,1
6117,€ 269.000,3 ,85,1 ,4
6118,€ 1.390.000,5+ ,344,3+ ,Ultimo
6119,€ 189.000,2 ,73,1 ,Seminterrato
6120,€ 438.000,4 ,109,2 ,4
6122,€ 138.000,1 ,37,1 ,Piano terra
6123,€ 125.000,3 ,56,1 ,3
6125,€ 350.000,3 ,70,1 ,1
6127,€ 319.000,4 ,103,1 ,2
6128,€ 350.000,3 ,105,2 ,2
6129,€ 180.000,2 ,98,1 ,6
6131,€ 880.000,5 ,150,3 ,3
6133,€ 170.000,2 ,50,1 ,1
6134,€ 830.000,5 ,170,2 ,Piano rialzato
6135,€ 160.000,2 ,71,1 ,6
6136,€ 1.350.000,4 ,140,3 ,4
6137,€ 145.000,1 ,35,1 ,2
6138,€ 1.590.000,4 ,226,3 ,1
6139,€ 219.000,2 ,85,1 ,Ultimo
6140,€ 300.000,3 ,105,1 ,7
6141,€ 180.000,4 ,120,2 ,7
6142,€ 950.000,5+ ,160,3 ,4
6143,€ 470.000,3 ,1.510,2 ,Seminterrato
6145,€ 1.100.000,5+ ,250,2 ,1
6146,€ 379.000,5 ,145,2 ,4
6147,€ 305.000,3 ,100,1 ,7
6148,€ 469.000,3 ,140,2 ,4
6149,€ 200.000,1 ,50,1 ,3
6150,€ 330.000,3 ,105,1 ,1
6151,€ 125.000,1 ,45,1 ,2
6152,€ 995.000,5 ,195,2 ,4
6153,€ 490.000,4 ,125,2 ,5
6154,€ 139.000,2 ,60,2 ,Piano terra
6155,€ 270.000,2 ,60,1 ,2
6156,€ 595.000,4 ,140,3 ,Ultimo
6157,€ 149.000,1 ,40,1 ,3
6158,€ 229.000,4 ,110,1 ,1
6159,€ 690.000,3 ,140,2 ,2
6160,€ 229.000,4 ,100,3 ,Piano rialzato
6161,€ 279.000,2 ,60,1 ,1
6163,€ 3.500.000,5+ ,334,3+ ,4
6164,€ 105.000,3 ,86,2 ,Piano rialzato
6165,€ 179.000,1 ,35,1 ,5
6166,€ 160.000,3 ,70,1 ,3
6167,€ 330.000,2 ,70,1 ,1
6168,€ 209.000,2 ,55,1 ,4
6169,€ 445.000,5 ,152,2 ,4
6170,€ 360.000,3 ,82,2 ,1
6171,€ 175.000,2 ,46,1 ,3
6173,€ 230.000,3 ,104,1 ,4
