,Price,Local,Surface,Bathroom,Floor
335,€ 1.320.000,5 ,223,3 ,1
337,€ 2.450.000,5+ ,378,3+ ,4
338,€ 549.000,5 ,150,2 ,2
339,€ 1.420.000,3 ,170,2 ,3
340,€ 740.000,5 ,141,2 ,3
341,€ 79.000,2 ,50,1 ,Piano terra
343,€ 735.000,3 ,115,1 ,1
344,€ 550.000,5 ,145,2 ,2
346,€ 109.000,2 ,49,1 ,Ultimo
347,€ 389.000,4 ,120,2 ,5
348,€ 239.000,2 ,70,1 ,Piano rialzato
350,€ 690.000,3 ,104,1 ,3
351,€ 285.000,4 ,90,2 ,6
352,€ 260.000,3 ,65,1 ,Ultimo
353,€ 1.150.000,5+ ,220,3 ,2
354,€ 345.000,3 ,70,2 ,6
356,€ 450.000,4 ,145,3 ,2
357,€ 169.000,3 ,75,1 ,1
358,€ 178.000,2 ,69,1 ,3
360,€ 235.000,2 ,70,1 ,8
361,PREZZO SU RICHIESTA,5+ ,380,3+ ,3
362,€ 240.000,2 ,54,1 ,Piano terra
363,€ 565.000,4 ,120,2 ,7
364,€ 350.000,4 ,103,2 ,5
365,€ 349.000,4 ,95,2 ,Ultimo
367,€ 399.000,3 ,107,2 ,3
368,€ 1.650.000,5+ ,282,3+ ,2
369,€ 525.000,4 ,100,2 ,Ultimo
370,€ 145.000,2 ,55,1 ,Piano terra
371,€ 635.000,5 ,165,2 ,9
372,€ 390.000,4 ,130,2 ,3
373,€ 550.000,3 ,116,2 ,2
374,€ 148.000,1 ,33,1 ,2
375,€ 495.000,4 ,116,2 ,Piano terra
376,€ 205.000,2 ,66,1 ,Seminterrato
377,€ 975.000,5+ ,198,3 ,Piano terra
378,€ 1.550.000,4 ,138,3 ,1
379,€ 495.000,3 ,79,2 ,3
380,€ 397.000,3 ,117,1 ,2
381,€ 1.300.000,5+ ,303,3 ,3
382,€ 695.000,4 ,163,2 ,5
383,€ 215.000,3 ,85,2 ,5
384,€ 325.000,3 ,80,1 ,4
386,€ 285.000,4 ,100,1 ,3
387,€ 695.000,4 ,101,2 ,5
388,€ 630.000,5 ,144,2 ,2
389,€ 175.000,1 ,59,1 ,2
390,€ 530.000,3 ,123,2 ,1
391,€ 398.000,4 ,137,2 ,3
392,€ 465.000,4 ,140,1 ,2
393,€ 1.250.000,5 ,200,3 ,4
394,€ 198.000,3 ,80,2 ,4
396,€ 498.000,5 ,150,2 ,2
397,€ 260.000,3 ,88,1 ,1
398,€ 778.000,5+ ,217,3 ,4
399,€ 335.000,3 ,109,1 ,Piano terra
400,€ 728.000,5 ,157,3+ ,3
401,€ 189.000,2 ,50,1 ,5
402,€ 199.000,2 ,62,1 ,3
403,€ 289.000,2 ,63,1 ,1
404,€ 224.000,2 ,55,1 ,1
405,€ 98.000,1 ,35,1 ,Piano terra
407,€ 215.000,2 ,55,1 ,5
408,€ 149.000,3 ,90,1 ,Piano rialzato
409,€ 249.000,4 ,120,2 ,Piano rialzato
410,€ 115.000,1 ,40,1 ,2
412,€ 109.000,2 ,63,1 ,2
416,€ 245.000,3 ,85,1 ,1
419,€ 269.000,3 ,80,1 ,2
422,€ 199.000,3 ,80,1 ,2
424,€ 189.000,3 ,100,2 ,Piano rialzato
425,€ 209.000,2 ,90,1 ,Piano rialzato
426,€ 425.000,3 ,110,1 ,Interrato
429,€ 350.000,5+ ,260,3 ,Piano rialzato
430,€ 245.000,3 ,80,1 ,1
435,€ 165.000,3 ,77,2 ,1
436,€ 300.000,2 ,56,1 ,1
437,€ 270.000,3 ,90,2 ,1
438,€ 1.690.000,5+ ,227,3 ,3
439,€ 460.000,4 ,135,2 ,2
440,€ 445.000,4 ,110,2 ,6
441,€ 269.000,3 ,110,1 ,3
442,€ 399.000,4 ,130,2 ,Ultimo
443,€ 480.000,5 ,120,2 ,2
444,€ 420.000,3 ,134,2 ,1
445,€ 180.000,2 ,65,1 ,1
446,€ 425.000,2 ,65,1 ,2
447,€ 699.000,5+ ,160,2 ,1
448,€ 279.000,3 ,73,1 ,Ultimo
449,€ 198.000,3 ,93,2 ,Ultimo
450,€ 155.000,2 ,63,1 ,Piano terra
453,€ 219.000,3 ,80,1 ,2
454,€ 195.000,1 ,38,1 ,1
